X Coordinate,Y Coordinate,Measured Depth (m),Deviation (True/False),Surface-Casing Weight (kg/m),Production-Casing Size (mm),Production-Casing Weight (kg/m),Bore. Temp. (degC),Prod. Formation,Porosity (fraction),Permeability (darcy),OIL Prod. (e3m3/month)
337.6,314.0,2715.8,True.,,139.7,,70.0,Shale-Sand,0.248,3.64,225.87
43.5,772.0,2036.0,True.,35.7,139.7,25.3,,Shale-Sand,0.168,9.7,70.21
363.8,571.0,1140.0,False.,35.7,139.7,20.8,34.0,Shale-Sand,0.102,0.49,3.52
333.0,381.0,1842.5,False.,,114.3,,49.0,Shale-Sand,0.06,3.7,21.08
431.7,548.0,1554.0,True.,25.3,114.3,17.3,,Shale-Sand,0.118,6.71,41.79
446.3,233.0,1507.0,False.,35.7,139.7,20.8,36.0,Shale-Sand,0.063,0.26,1.98
596.1,515.0,744.0,True.,53.6,177.8,34.2,10.0,Shale-Sand,0.166,1.2,9.2
330.4,456.0,2723.0,True.,48.1,177.8,38.7,69.0,Shale-Sand,0.295,8.04,119.78
619.1,389.0,919.0,True.,35.7,139.7,20.8,29.0,Shale-Sand,0.076,2.42,5.09
617.9,595.0,423.0,False.,,139.7,,19.0,Shale-Sand,0.043,1.85,16.44
603.8,523.0,470.0,True.,48.1,177.8,38.7,30.0,Shale-Sand,0.262,3.66,162.93
518.6,184.0,2073.0,True.,48.1,,,,Shale-Sand,0.136,0.42,10.35
275.9,474.0,1813.6,True.,,114.3,,46.0,Shale-Sand,0.212,6.94,203.37
556.1,136.0,967.0,False.,35.7,139.7,20.8,31.0,Shale-Sand,0.22,4.1,34.01
594.6,516.0,692.0,True.,48.1,177.8,29.8,,Shale-Sand,0.141,1.94,8.52
491.7,86.0,1040.0,True.,35.7,139.7,20.8,34.0,Shale-Sand,0.135,1.47,6.17
589.3,596.0,436.0,False.,48.1,177.8,25.3,18.0,Shale-Sand,0.09,1.38,8.24
609.8,586.0,411.5,True.,,177.8,,24.0,Shale-Sand,0.214,8.93,113.05
491.4,88.0,1042.0,True.,35.7,139.7,20.8,32.0,Shale-Sand,0.147,2.1,15.78
610.8,629.0,1077.0,True.,,219.1,53.6,,Shale-Sand,0.117,2.16,20.15
586.3,514.0,768.0,True.,53.6,177.8,34.2,22.0,Shale-Sand,0.051,0.52,2.93
583.8,603.0,1219.0,True.,62.5,,,,Shale,0.026,0.61,0.75
572.6,210.0,954.0,True.,35.7,114.3,14.1,32.0,Sand,0.299,52.52,505.03
592.6,531.0,750.0,False.,,177.8,,,Shale-Sand,0.161,7.2,44.39
496.2,120.0,1062.8,True.,,139.7,,33.0,Sand,0.334,14.87,541.98
631.2,583.0,343.2,False.,56.5,,,,Shale-Sand,0.094,4.14,16.44
612.7,591.0,385.5,True.,48.1,177.8,29.8,25.0,Shale-Sand,0.26,11.96,182.01
524.8,217.0,2486.0,True.,29.7,114.3,17.2,,Shale-Sand,0.091,1.54,11.09
344.4,261.0,3930.0,True.,48.0,,,81.0,Shale-Sand,0.146,3.47,45.81
613.6,620.0,485.0,True.,,177.8,34.2,22.0,Shale-Sand,0.14,4.9,34.53
607.4,585.0,538.0,True.,,177.8,,,Shale-Sand,0.15,0.51,2.36
310.3,841.0,1447.0,False.,48.1,114.3,15.6,26.0,Shale-Sand,0.153,3.26,24.0
589.7,427.0,704.7,False.,,114.3,,25.0,Shale-Sand,0.037,0.22,1.4
396.4,493.0,1959.9,False.,,177.8,,49.0,Shale,0.0,0.18,0.48
569.7,606.0,694.0,True.,48.1,177.8,34.2,,Shale-Sand,0.042,0.94,1.64
585.0,604.0,1415.0,True.,62.5,,,,Shale-Sand,0.058,0.49,1.03
567.2,480.0,2015.0,True.,62.5,,,,Shale-Sand,0.18,5.96,35.65
450.3,536.0,979.0,False.,,177.8,,31.0,Shale-Sand,0.106,1.76,14.79
533.4,105.0,892.0,False.,35.7,139.7,20.8,33.0,Shale-Sand,0.184,5.19,45.46
529.8,229.0,1042.0,True.,35.7,139.7,20.8,34.0,Shale-Sand,0.184,18.28,124.84
498.9,59.0,1010.0,False.,53.6,139.7,20.8,26.0,Shale-Sand,0.152,3.99,12.64
551.0,99.0,895.0,True.,35.7,139.7,20.8,30.0,Shale-Sand,0.148,11.84,121.65
311.6,457.0,1481.3,False.,,139.7,,,Shale-Sand,0.164,1.58,36.46
628.9,463.0,1662.5,True.,62.5,,,,Shale-Sand,0.022,0.05,2.07
638.4,332.0,2346.0,True.,25.3,114.3,17.3,,Shale-Sand,0.267,6.55,99.24
605.3,526.0,773.0,True.,53.6,177.8,34.2,30.0,Shale,0.0,0.16,0.23
591.2,598.0,682.0,True.,25.3,177.8,25.3,26.0,Shale-Sand,0.056,1.22,6.81
591.7,542.0,755.0,True.,53.6,177.8,34.2,,Shale-Sand,0.175,3.14,38.82
294.7,845.0,1606.0,True.,35.7,139.7,23.1,38.0,Shale-Sand,0.129,9.57,78.23
643.9,384.0,845.0,True.,35.7,139.7,20.8,34.0,Shale-Sand,0.18,3.0,105.27
365.4,671.0,1688.0,False.,,114.3,,56.0,Shale,0.106,0.54,0.66
355.7,698.0,1635.6,False.,,114.3,,,Shale-Sand,0.204,3.41,56.45
644.8,468.0,710.0,False.,,177.8,,28.0,Shale-Sand,0.122,5.5,9.12
448.4,538.0,975.7,False.,,177.8,,,Shale-Sand,0.0,0.64,2.35
509.6,145.0,1061.0,False.,,114.3,,31.0,Shale-Sand,0.094,0.97,12.96
589.8,521.0,955.0,True.,53.6,177.8,34.2,15.0,Shale-Sand,0.133,1.04,36.94
376.1,374.0,1888.0,True.,35.7,,,,Shale-Sand,0.196,14.09,155.05
598.6,596.0,579.0,True.,48.1,177.8,25.3,28.0,Shale-Sand,0.077,2.04,20.82
551.0,327.0,1356.4,True.,,114.3,,49.0,Shale-Sand,0.162,12.42,123.4
503.4,94.0,1059.5,True.,,139.7,,37.0,Sand,0.322,9.81,371.17
348.5,373.0,2237.2,False.,,114.3,,53.0,Shale-Sand,0.125,1.71,3.63
609.1,330.0,1676.5,True.,25.3,114.3,17.3,,Shale-Sand,0.244,9.64,70.91
551.5,101.0,916.0,True.,35.7,139.7,20.8,36.0,Shale-Sand,0.213,8.05,88.37
600.1,536.0,555.0,True.,48.1,177.8,34.2,26.0,Shale-Sand,0.152,2.47,82.74
353.8,333.0,2078.0,False.,,139.7,,51.0,Shale-Sand,0.165,4.28,69.06
242.7,460.0,2062.0,False.,53.6,139.7,23.1,50.0,Shale-Sand,0.132,4.84,43.93
617.9,586.0,960.0,True.,62.7,,,,Shale-Sand,0.02,3.08,3.37
397.3,485.0,1600.5,False.,,177.8,,47.0,Shale,0.01,0.15,0.42
140.3,1136.0,1470.0,False.,53.6,139.7,23.1,54.0,Shale-Sand,0.112,2.31,15.77
594.7,524.0,641.0,False.,,177.8,,28.0,Shale-Sand,0.119,1.53,7.73
445.1,552.0,1002.5,False.,,139.7,,31.0,Shale-Sand,0.192,2.89,90.34
420.9,365.0,1883.7,False.,,139.7,,53.0,Shale-Sand,0.08,2.06,9.67
131.4,1145.0,1569.1,True.,,177.8,,64.0,Sand,0.278,37.85,906.42
305.8,450.0,1688.6,False.,,114.3,,57.0,Shale,0.0,0.12,0.42
435.0,786.0,2984.0,True.,,,,,Shale-Sand,0.172,4.04,40.15
580.6,597.0,633.0,True.,48.1,177.8,29.8,20.0,Shale-Sand,0.189,1.46,43.9
267.0,539.0,1986.0,True.,48.1,139.7,23.1,59.0,Shale-Sand,0.152,2.82,114.31
635.9,466.0,804.7,True.,53.6,177.8,34.2,,Shale-Sand,0.253,11.56,234.76
373.1,909.0,1329.0,False.,48.1,114.3,14.1,31.0,Shale-Sand,0.183,10.9,70.62
297.0,344.0,2685.0,False.,,177.8,38.7,67.0,Shale-Sand,0.121,0.86,14.74
399.0,505.0,1557.2,False.,,177.8,,51.0,Shale-Sand,0.074,4.84,16.53
575.4,606.0,688.0,True.,48.1,177.8,25.3,18.0,Shale-Sand,0.2,9.07,210.59
171.5,820.0,2531.0,True.,53.6,,,,Shale,0.052,0.21,0.26
582.8,602.0,475.0,False.,48.1,177.8,25.3,28.0,Shale,0.008,0.52,0.36
169.7,792.0,1830.0,False.,35.7,139.7,25.3,55.0,Shale-Sand,0.226,12.05,101.66
424.1,312.0,1665.0,False.,,139.7,,52.0,Shale-Sand,0.133,1.71,18.25
421.3,358.0,1910.0,False.,35.7,139.7,25.3,53.0,Shale-Sand,0.23,3.85,38.49
144.9,1146.0,1569.7,False.,,177.8,,58.0,Shale-Sand,0.175,1.56,35.43
537.6,149.0,1026.0,True.,35.7,139.7,20.8,33.0,Shale-Sand,0.019,0.24,1.11
609.8,586.0,411.5,False.,,177.8,,24.0,Shale-Sand,0.129,2.59,45.9
602.5,549.0,555.0,True.,,177.8,34.2,25.0,Shale-Sand,0.132,0.83,8.27
303.5,452.0,1652.6,False.,,114.3,,,Shale-Sand,0.192,3.14,54.63
100.6,1076.0,1905.0,True.,59.5,,,88.0,Shale-Sand,0.193,1.14,26.24
200.6,609.0,2644.0,True.,53.6,177.8,38.7,,Sand,0.338,90.5,425.75
510.9,143.0,1064.0,False.,,139.7,,29.0,Shale-Sand,0.092,1.72,0.99
394.4,483.0,1622.8,False.,,177.8,,53.0,Shale-Sand,0.054,0.97,23.93
399.2,502.0,1556.0,False.,,177.8,,53.0,Shale-Sand,0.103,2.85,35.92
351.2,535.0,1712.4,False.,,139.7,,59.0,Shale-Sand,0.136,0.46,7.67
593.1,518.0,710.0,True.,53.6,177.8,34.2,34.0,Shale,0.0,0.11,0.35
605.0,448.0,659.9,False.,,177.8,,29.0,Shale-Sand,0.118,5.74,43.98
439.7,543.0,2362.0,True.,25.3,114.3,17.3,,Shale-Sand,0.196,6.43,82.24
618.8,588.0,615.0,True.,48.1,177.8,29.7,15.0,Shale-Sand,0.197,26.85,253.83
133.5,1078.0,1661.2,False.,,114.3,,66.0,Shale-Sand,0.169,2.02,28.42
356.5,375.0,1924.0,False.,35.7,139.7,23.1,47.0,Shale-Sand,0.122,3.37,64.79
628.9,476.0,620.3,False.,,177.8,,28.0,Shale-Sand,0.177,7.69,50.86
608.5,489.0,605.0,False.,48.1,177.8,25.3,24.0,Shale-Sand,0.211,23.69,69.97
422.0,361.0,1874.5,True.,,114.3,,59.0,Shale-Sand,0.212,18.3,218.85
115.3,717.0,3292.0,False.,,177.8,,85.0,Shale-Sand,0.208,8.42,68.77
460.3,253.0,1457.0,False.,,114.3,,39.0,Shale-Sand,0.034,0.41,3.87
533.5,178.0,1049.0,False.,35.7,139.7,20.8,31.0,Shale-Sand,0.039,0.74,1.33
613.6,458.0,875.5,True.,35.7,139.7,20.8,29.0,Shale-Sand,0.09,1.19,33.74
609.1,329.0,1779.0,True.,25.3,114.3,17.3,,Shale-Sand,0.141,13.22,82.21
292.4,466.0,1720.6,False.,,139.7,,46.0,Shale-Sand,0.046,0.92,7.23
593.9,472.0,600.0,True.,48.1,177.8,29.8,23.0,Shale-Sand,0.272,21.45,193.83
319.4,329.0,2491.0,False.,,139.7,,140.0,Shale-Sand,0.141,9.42,29.13
125.0,1091.0,2034.8,True.,,177.8,,82.0,Shale-Sand,0.172,0.21,1.68
534.8,393.0,932.7,False.,,139.7,,29.0,Shale-Sand,0.127,2.04,25.89
445.9,548.0,969.9,True.,,177.8,,44.0,Shale-Sand,0.305,5.67,235.7
314.0,472.0,1466.1,False.,,139.7,,39.0,Shale-Sand,0.153,7.94,91.23
622.4,521.0,620.0,True.,53.6,177.8,34.2,21.0,Shale-Sand,0.093,2.22,5.35
598.2,513.0,621.0,True.,48.1,177.8,29.8,25.0,Shale-Sand,0.127,0.47,4.22
481.8,283.0,1441.0,False.,35.7,114.3,14.1,42.0,Shale-Sand,0.217,6.66,25.37
398.0,481.0,1629.5,False.,,139.7,,,Shale-Sand,0.162,1.91,42.92
54.8,783.0,1830.0,True.,35.7,139.7,23.1,48.0,Shale-Sand,0.22,2.22,116.72
450.5,544.0,999.4,True.,,177.8,,31.0,Shale-Sand,0.185,12.37,133.59
580.4,598.0,613.0,True.,48.1,177.8,29.8,25.0,Shale-Sand,0.134,7.56,26.68
636.1,408.0,1531.0,True.,48.0,,,,Shale-Sand,0.05,0.93,43.64
540.4,237.0,1051.3,False.,,114.3,,33.0,Shale-Sand,0.182,0.82,17.52
275.4,625.0,1430.0,False.,35.7,114.3,14.1,43.0,Shale-Sand,0.178,8.48,67.59
617.7,615.0,659.0,True.,,114.3,,,Shale-Sand,0.193,5.47,113.16
551.2,131.0,946.0,False.,35.7,139.7,20.8,30.0,Shale-Sand,0.091,0.99,16.1
357.2,306.0,3700.0,True.,48.0,,,,Shale-Sand,0.063,3.71,11.61
582.4,603.0,497.7,True.,53.6,177.8,34.2,25.0,Shale-Sand,0.0,0.49,1.47
642.8,382.0,1330.0,True.,48.1,,,,Shale-Sand,0.205,5.69,71.28
77.7,772.0,1641.0,True.,35.7,139.7,25.3,56.0,Shale-Sand,0.262,17.27,139.52
608.0,524.0,649.0,True.,48.1,177.8,34.2,21.0,Shale,0.0,0.36,0.43
645.2,418.0,698.0,False.,,139.7,,24.0,Shale-Sand,0.12,1.41,20.9
353.4,880.0,1394.0,False.,48.1,177.8,29.8,,Shale-Sand,0.163,1.47,44.43
444.2,549.0,1000.3,False.,,177.8,,32.0,Shale-Sand,0.161,0.82,7.71
597.2,595.0,577.0,True.,53.6,177.8,34.3,25.0,Shale-Sand,0.138,3.82,23.51
575.9,599.0,660.0,True.,53.6,177.8,34.2,25.0,Shale-Sand,0.169,2.11,23.48
614.9,587.0,570.0,True.,53.6,177.8,34.2,20.0,Shale-Sand,0.182,0.84,8.02
104.4,1166.0,1919.5,True.,53.6,,,80.0,Shale-Sand,0.082,6.09,128.89
595.1,527.0,628.0,True.,53.6,177.8,34.2,25.0,Shale-Sand,0.17,9.08,113.28
447.8,545.0,978.4,False.,,177.8,,,Shale-Sand,0.049,3.28,17.92
589.7,798.0,1585.0,True.,81.1,,,,Shale,0.0,0.39,0.26
88.9,1090.0,2192.1,True.,,177.8,,82.0,Shale-Sand,0.248,9.11,200.81
105.2,1078.0,1925.0,False.,,,,77.0,Shale,0.037,0.41,0.42
368.4,464.0,1705.0,True.,35.7,139.7,20.8,55.0,Shale-Sand,0.222,8.65,118.75
296.7,842.0,1551.0,True.,53.6,177.8,34.2,37.0,Shale-Sand,0.005,0.4,2.21
120.7,1086.0,1640.0,False.,53.6,177.8,34.2,,Shale-Sand,0.042,1.04,12.3
469.5,113.0,1180.0,True.,35.7,139.7,20.8,25.0,Shale-Sand,0.061,5.21,32.71
185.1,675.0,2590.2,True.,,139.7,,76.0,Shale-Sand,0.268,8.26,129.07
110.2,677.0,5116.0,True.,35.7,139.7,25.3,,Shale-Sand,0.144,2.39,23.07
639.0,472.0,672.0,False.,25.3,,,26.0,Shale-Sand,0.083,0.61,33.22
50.1,782.0,2204.0,True.,48.1,,,,Shale,0.024,0.35,0.31
640.0,501.0,611.0,True.,48.1,177.8,29.8,21.0,Shale-Sand,0.125,1.73,6.41
591.2,540.0,545.0,True.,48.1,177.8,29.8,19.0,Shale-Sand,0.085,3.36,10.63
595.2,516.0,641.0,False.,48.0,177.8,25.3,27.0,Shale-Sand,0.222,4.28,73.96
607.6,585.0,456.0,True.,,177.8,,19.0,Shale-Sand,0.0,2.47,18.69
363.5,395.0,1992.0,False.,41.6,139.7,25.3,55.0,Shale-Sand,0.089,1.79,25.64
369.4,334.0,2636.5,False.,,139.7,,79.0,Shale-Sand,0.23,2.9,101.09
638.3,480.0,630.0,False.,,177.8,,26.0,Shale-Sand,0.115,0.83,2.68
535.6,393.0,919.6,True.,,177.8,,28.0,Shale-Sand,0.259,5.58,142.6
350.8,704.0,1678.0,True.,81.1,,,54.0,Shale-Sand,0.234,9.84,236.08
560.6,418.0,795.0,False.,25.3,114.3,14.1,5.0,Shale-Sand,0.147,3.2,34.81
597.2,595.0,487.0,False.,48.1,177.8,25.3,25.0,Shale-Sand,0.198,1.55,12.96
496.5,50.0,958.0,False.,,139.7,,35.0,Shale-Sand,0.198,2.29,25.76
525.3,97.0,915.0,False.,35.7,139.7,20.8,31.0,Shale-Sand,0.27,2.57,101.74
377.3,330.0,1234.4,False.,,114.3,,38.0,Shale-Sand,0.117,2.16,23.12
180.1,677.0,2588.4,False.,,139.7,,64.0,Shale-Sand,0.143,2.57,28.63
454.2,363.0,1357.6,False.,,114.3,,,Shale-Sand,0.196,2.28,69.0
587.3,514.0,774.0,True.,53.6,177.8,34.2,15.0,Shale-Sand,0.132,2.13,30.8
146.7,1161.0,1715.1,True.,,139.7,,69.0,Shale,0.0,0.18,0.26
574.3,379.0,951.0,True.,35.7,139.7,20.8,30.0,Shale-Sand,0.09,1.59,16.1
310.0,780.0,1750.0,False.,,139.7,,44.0,Shale-Sand,0.169,6.66,67.49
324.8,467.0,1449.0,False.,,139.7,,42.0,Shale-Sand,0.11,1.08,20.03
329.9,323.0,3458.3,False.,,139.7,,79.0,Shale-Sand,0.0,0.79,4.1
247.8,614.0,2890.0,True.,53.6,139.7,25.3,,Shale-Sand,0.0,1.04,3.65
536.8,138.0,2912.0,True.,48.1,,,,Shale-Sand,0.129,4.62,17.33
498.3,98.0,1041.0,False.,,139.7,,27.0,Shale-Sand,0.295,1.72,82.94
81.6,1067.0,2139.7,True.,,177.8,,80.0,Shale-Sand,0.154,1.87,15.56
420.1,379.0,1899.5,False.,,139.7,,54.0,Shale-Sand,0.205,1.24,27.57
404.4,361.0,1791.0,False.,,114.3,,54.0,Shale-Sand,0.02,0.69,1.12
533.3,386.0,1037.0,False.,,139.7,,36.0,Shale-Sand,0.06,2.47,11.97
510.5,142.0,1068.0,False.,,139.7,,31.0,Shale-Sand,0.15,2.43,44.08
590.8,533.0,709.0,True.,48.1,177.8,25.3,23.0,Shale-Sand,0.119,0.96,18.67
277.5,844.0,1614.0,True.,35.7,139.7,20.8,38.0,Shale-Sand,0.165,5.41,36.66
624.2,606.0,514.0,True.,53.6,177.8,34.2,17.0,Shale-Sand,0.151,8.0,94.14
617.2,530.0,581.0,True.,,139.7,20.8,,Shale-Sand,0.094,2.91,28.35
349.4,697.0,1898.3,True.,,139.7,,56.0,Shale-Sand,0.145,1.65,50.33
635.9,333.0,2287.0,True.,25.3,114.3,17.3,,Shale-Sand,0.24,9.99,90.11
645.9,458.0,649.2,False.,,139.7,,22.0,Shale-Sand,0.182,2.86,99.72
635.9,459.0,1794.0,True.,62.5,,,,Shale-Sand,0.19,2.47,72.71
610.9,531.0,566.0,True.,48.1,177.8,25.3,24.0,Shale-Sand,0.198,5.16,186.43
383.4,450.0,2190.0,False.,,177.8,14.1,,Shale-Sand,0.078,2.18,20.34
576.7,185.0,979.9,False.,,139.7,,33.0,Shale-Sand,0.106,2.31,15.25
56.6,874.0,2770.0,True.,48.1,,,,Shale-Sand,0.189,1.03,10.75
494.4,49.0,1020.0,True.,35.7,139.7,23.1,34.0,Shale-Sand,0.276,19.96,199.54
598.8,631.0,549.0,True.,48.7,177.8,34.2,,Shale-Sand,0.038,0.77,5.56
515.8,377.0,1100.0,True.,35.7,114.3,14.1,32.0,Shale-Sand,0.279,10.81,218.82
574.2,605.0,609.0,True.,48.1,177.8,25.3,28.0,Shale-Sand,0.188,1.16,34.99
468.5,155.0,1265.0,False.,,139.7,,37.0,Shale-Sand,0.005,1.44,7.36
644.0,383.0,805.0,False.,,139.7,,26.0,Shale-Sand,0.244,2.28,93.83
541.1,146.0,1010.4,False.,,139.7,,29.0,Shale-Sand,0.138,0.87,4.78
91.2,1063.0,2376.6,True.,,,,56.0,Shale-Sand,0.134,3.38,43.9
77.6,971.0,2537.0,True.,48.1,139.7,25.3,88.0,Shale-Sand,0.204,6.68,32.97
511.6,145.0,1088.0,False.,,114.3,,32.0,Shale-Sand,0.191,15.34,51.1
613.9,620.0,560.0,True.,,177.8,34.2,22.0,Shale,0.0,0.42,0.21
607.4,585.0,398.0,True.,,177.8,,19.0,Shale-Sand,0.257,6.96,60.7
427.0,555.0,1495.0,True.,25.3,114.3,17.3,,Shale-Sand,0.206,5.6,87.6
107.7,718.0,1750.0,True.,35.7,139.7,20.8,,Shale-Sand,0.246,11.45,189.86
412.9,317.0,1706.0,True.,,114.3,,45.0,Shale-Sand,0.236,10.34,242.91
535.5,162.0,994.9,True.,,114.3,,26.0,Shale-Sand,0.24,8.34,202.6
558.6,163.0,1001.0,False.,,139.7,,32.0,Shale,0.094,0.52,0.54
283.7,471.0,1766.3,False.,,114.3,,,Shale,0.032,0.48,0.9
331.0,375.0,1912.6,False.,,114.3,,44.0,Shale,0.063,0.29,0.65
274.8,460.0,3521.0,True.,53.6,114.3,20.9,12.0,Shale,0.0,0.47,0.3
522.3,213.0,1050.0,False.,35.7,139.7,23.1,35.0,Shale-Sand,0.19,2.25,19.02
520.3,98.0,920.0,False.,35.7,139.7,20.8,31.0,Shale-Sand,0.125,2.79,20.11
55.4,751.0,2005.0,True.,35.7,139.7,23.1,55.0,Shale-Sand,0.225,10.77,156.41
593.1,532.0,642.0,False.,,177.8,,,Shale-Sand,0.114,0.76,2.8
296.4,839.0,1558.0,False.,35.7,139.7,20.8,41.0,Shale-Sand,0.254,5.97,97.69
611.2,528.0,657.0,True.,48.1,177.8,29.8,19.0,Shale-Sand,0.206,5.72,129.42
312.7,457.0,1470.4,False.,,139.7,,42.0,Shale,0.024,0.41,0.24
589.8,521.0,957.0,True.,53.6,177.8,34.2,22.0,Shale-Sand,0.242,3.45,86.69
274.3,600.0,2710.0,False.,53.6,139.7,25.3,79.0,Shale-Sand,0.154,7.19,69.05
592.6,526.0,661.0,False.,60.3,177.8,34.2,25.0,Shale-Sand,0.123,2.2,27.09
312.4,370.0,2166.0,False.,53.6,,,58.0,Shale-Sand,0.04,0.51,3.23
459.8,342.0,1606.0,False.,,177.8,,57.0,Shale-Sand,0.173,1.61,28.84
497.5,103.0,1012.0,False.,35.7,139.7,20.8,32.0,Shale-Sand,0.049,0.75,23.74
298.7,674.0,3065.0,True.,53.6,,,,Shale-Sand,0.008,2.55,5.43
119.6,1085.0,1646.0,False.,53.6,177.8,34.2,60.0,Shale-Sand,0.166,3.02,57.04
212.8,422.0,4541.0,True.,59.5,,,,Shale-Sand,0.201,6.01,99.66
311.9,456.0,1478.9,True.,,139.7,,,Shale-Sand,0.177,4.16,137.68
606.9,117.0,894.0,True.,35.7,139.7,20.8,27.0,Sand,0.301,8.23,390.55
479.1,135.0,1157.0,False.,,114.3,,33.0,Shale-Sand,0.088,8.32,44.12
559.5,455.0,1003.0,True.,35.7,139.7,20.8,24.0,Sand,0.26,13.97,460.02
602.6,542.0,756.0,True.,48.1,177.8,34.2,26.0,Sand,0.256,32.5,292.18
530.4,143.0,1075.0,False.,35.7,139.7,20.8,36.0,Shale-Sand,0.108,0.98,3.01
553.7,148.0,1003.0,False.,,139.7,,32.0,Shale-Sand,0.161,23.34,104.16
444.8,433.0,2121.7,False.,,219.1,,57.0,Shale-Sand,0.118,8.13,47.91
120.3,1128.0,1635.6,True.,,114.3,,,Shale-Sand,0.159,1.69,5.53
646.7,350.0,800.1,False.,,139.7,,26.0,Shale-Sand,0.178,2.57,38.15
301.3,440.0,1795.0,False.,,114.3,,51.0,Shale-Sand,0.087,4.17,30.58
100.4,1075.0,1925.0,True.,53.6,,,65.0,Shale-Sand,0.155,5.14,51.36
114.4,1172.0,1885.0,True.,53.6,,,60.0,Shale-Sand,0.119,0.73,12.68
520.2,122.0,964.1,False.,,177.8,,33.0,Shale-Sand,0.149,0.8,10.97
441.2,547.0,2297.0,True.,25.3,114.3,17.3,,Shale-Sand,0.108,0.24,2.04
491.0,306.0,1370.0,False.,35.7,139.7,20.8,40.0,Shale-Sand,0.183,3.76,25.66
522.0,217.0,1041.0,False.,25.3,114.3,14.1,25.0,Shale-Sand,0.105,3.44,43.9
54.3,732.0,4026.0,True.,53.6,,,,Shale-Sand,0.112,1.62,31.92
80.7,1071.0,2139.7,True.,,177.8,23.1,73.0,Shale-Sand,0.098,6.97,43.99
606.1,463.0,681.0,True.,48.1,177.8,25.3,28.0,Shale-Sand,0.285,11.98,203.66
573.7,187.0,1309.0,True.,49.6,,,,Shale-Sand,0.065,0.63,21.91
